id,organisation_name,organisation_code,indicator_total_weighted_points,indicator_id,indicator_name,indicator_subcategory_name,indicator_order,indicator_weight,iati_manual,publication_format,publication_format_points,total_points,iati_data_quality_passed,iati_data_quality_points,iati_data_quality_frequency,iati_data_quality_frequency_value,iati_data_quality_frequency_multiplier,iati_data_quality_total_points,survey_publication_status,survey_publication_status_value,survey_ordinal_value,survey_publication_format,survey_publication_format_value,survey_total_points,survey_source
46002-non-sovereign-organisation-strategy,AfDB - Non-Sov.,46002-non-sovereign,1.874999994,organisation-strategy,Organisation strategy,Organisational planning and commitments,3,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-annual-report,AfDB - Non-Sov.,46002-non-sovereign,1.874999994,annual-report,Annual report,Organisational planning and commitments,4,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-allocation-policy,AfDB - Non-Sov.,46002-non-sovereign,1.874999994,allocation-policy,Allocation policy,Organisational planning and commitments,5,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,http://www.mofcom.gov.cn/article/i/jyjl/j/202101/20210103030260.shtml
46002-non-sovereign-procurement-policy,AfDB - Non-Sov.,46002-non-sovereign,1.874999994,procurement-policy,Procurement policy,Organisational planning and commitments,6,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,http://www.mofcom.gov.cn/article/b/c/201512/20151201216113.shtml
46002-non-sovereign-country-strategy-or-mou,AfDB - Non-Sov.,46002-non-sovereign,1.712999994,country-strategy-or-mou,Strategy (country/sector) or Memorandum of Understanding,Organisational planning and commitments,7,0.01875,iati,iati,33.333333,91.35999967,87.04,58.02666667,monthly,1,1,58.02666667,,,,,,0,
46002-non-sovereign-audit,AfDB - Non-Sov.,46002-non-sovereign,1.874999994,audit,Audit,Organisational planning and commitments,8,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-total-organisation-budget,AfDB - Non-Sov.,46002-non-sovereign,4.166666786,total-organisation-budget,Total organisation budget,Finance and budgets,9,0.041666668,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,http://english.mofcom.gov.cn/article/policyrelease/bbb/201701/20170102501006.shtml
46002-non-sovereign-disaggregated-budgets,AfDB - Non-Sov.,46002-non-sovereign,3.464166764,disaggregated-budgets,Disaggregated budget,Finance and budgets,10,0.041666668,iati,iati,33.333333,83.13999967,74.71,49.80666667,monthly,1,1,49.80666667,,,,,,0,http://www.mofcom.gov.cn/article/i/jyjl/j/202101/20210103030260.shtml
46002-non-sovereign-commitments,AfDB - Non-Sov.,46002-non-sovereign,3.333333489,commitments,Commitments,Finance and budgets,13,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-budget-alignment,AfDB - Non-Sov.,46002-non-sovereign,3.333333489,budget-alignment,Budget Alignment,Finance and budgets,15,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
