Organisation-code,organisation_name_short,organisation_name_long,organisation_name_code,score,year,performance group
46002,AfDB,African Development Bank,AfDB,88.42649702,2018,Very good
46002,AfDB,African Development Bank,AfDB,80.2,2016,Very good
46002,AfDB,African Development Bank,AfDB,74.5,2014,Good
46002,AfDB,African Development Bank,AfDB,63.7,2013,Good
46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,78.6,2022,Good
46002-sovereign,AfDB - sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,98.5,2022,Very Good
46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,95.52126468,2020,Very good
46004,AsDB,Asian Development Bank,AsDB,98.64341673,2018,Very good
46004,AsDB,Asian Development Bank,AsDB,84.9,2016,Very good
46004,AsDB,Asian Development Bank,AsDB,83.8,2014,Very good
46004,AsDB,Asian Development Bank,AsDB,57.6,2013,Fair
46004-non-sovereign,AsDB - Non-Sov.,Asian Development Bank – Non-Sovereign Portfolio,AsDB - Non-Sov.,82.3,2022,Very Good
46004-sovereign,AsDB - sovereign,Asian Development Bank – Sovereign Portfolio,AsDB - Sovereign,94.8,2022,Very Good
46004-sovereign,AsDB - Sovereign,Asian Development Bank – Sovereign Portfolio,AsDB - Sovereign,98.0371834,2020,Very good
AU-5,Australia-DFAT,"Australia, Department of Foreign Affairs and Trade","Australia, DFAT",41.9,2022,Fair
AU-5,Australia-DFAT,"Australia, Department of Foreign Affairs and Trade","Australia, DFAT",51.82147421,2020,Fair
AU-5,Australia-DFAT,"Australia, Department of Foreign Affairs and Trade","Australia, DFAT",57.3794051,2018,Fair
AU-5,Australia-DFAT,"Australia, Department of Foreign Affairs and Trade","Australia, DFAT",49.9,2016,Fair
AU-5,Australia-DFAT,"Australia, Department of Foreign Affairs and Trade","Australia, DFAT",45.9,2014,Fair
AU-5,Australia-DFAT,"Australia, Department of Foreign Affairs and Trade","Australia, DFAT",43.1,2013,Fair
,"Austria, ADA","Austria, ADA","Austria, ADA",19.1,2014,Very poor
,"Austria, ADA","Austria, ADA","Austria, ADA",20.4,2013,Poor
XM-DAC-2-10,Belgium-DGD,"Belgium, The Directorate-General for Development Cooperation","Belgium, DGD",63.3,2022,Good
XM-DAC-2-10,Belgium-DGD,"Belgium, The Directorate-General for Development Cooperation","Belgium, DGD",63.39037041,2020,Good
XM-DAC-2-10,Belgium-DGD,"Belgium, The Directorate-General for Development Cooperation","Belgium, DGD",63.41899035,2018,Good
XM-DAC-2-10,Belgium-DGD,"Belgium, The Directorate-General for Development Cooperation","Belgium, DGD",47.7,2016,Fair
XM-DAC-2-10,Belgium-DGD,"Belgium, The Directorate-General for Development Cooperation","Belgium, DGD",,2015,Poor
XM-DAC-2-10,Belgium-DGD,"Belgium, The Directorate-General for Development Cooperation","Belgium, DGD",18.9,2014,Very poor
XM-DAC-2-10,Belgium-DGD,"Belgium, The Directorate-General for Development Cooperation","Belgium, DGD",23.4,2013,Poor
,"Brazil, ABC","Brazil, ABC","Brazil, ABC",9.7,2014,Very poor
,"Brazil, ABC","Brazil, ABC","Brazil, ABC",11.8,2013,Very poor
,"Bulgaria, MFA","Bulgaria, MFA","Bulgaria, MFA",8.2,2014,Very poor
