id,organisation_code,organisation_name_short,organisation_name_long,organisation_name_code,indicator_total_weighted_points,indicator_id,indicator_name,indicator_category_name,indicator_subcategory_name,indicator_category_subcategory,indicator_order,indicator_weight,iati_manual,publication_format,publication_format_points,total_points,iati_data_quality_points,iati_data_quality_frequency,iati_data_quality_frequency_value,iati_data_quality_frequency_multiplier,iati_data_quality_total_points,survey_publication_status,survey_publication_status_value,survey_ordinal_value,survey_publication_format,survey_publication_format_value,survey_total_points
46002-non-sovereign-accessibility,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,1.875,accessibility,Accessibility,commitment,Organisational planning and commitments,commitment-Organisational planning and commitments,2,0.01875,manual,not-applicable,100,100,0,monthly,1,1,0,,0,100,,0,100
46002-non-sovereign-conditions,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0,conditions,Conditions,activity,Project attributes,activity-Project attributes,24,0.035,manual,document,0,0,0,monthly,1,1,0,not published,0,,document,50,0
46002-non-sovereign-project-budget-document,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0,project-budget-document,Project budget document,activity,Finance and budgets,activity-Finance and budgets,12,0.033333335,manual,document,0,0,0,monthly,1,1,0,not published,0,,document,50,0
46002-non-sovereign-foia,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,1.249875,foia,Quality of FOI legislation,commitment,Organisational planning and commitments,commitment-Organisational planning and commitments,1,0.01875,manual,not-applicable,66.66,66.66,0,monthly,1,1,0,,0,66.66,,0,66.66
46002-non-sovereign-results,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0,results,Results,activity,Performance,activity-Performance,35,0.05,manual,website,0,0,0,monthly,1,1,0,sometimes,0,,website,33.33,0
46002-non-sovereign-reviews-and-evaluations,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0,reviews-and-evaluations,Reviews and evaluations,activity,Performance,activity-Performance,34,0.05,manual,document,0,0,0,monthly,1,1,0,not published,0,,document,50,0
46002-non-sovereign-actual-dates,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0.999966667,actual-dates,Actual dates,activity,Project attributes,activity-Project attributes,19,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-aid-type,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,2.9999,aid-type,Aid type,activity,Joining-up development data,activity-Joining-up development data,27,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-allocation-policy,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,1.8749375,allocation-policy,Allocation policy,,Organisational planning and commitments,#NAME?,5,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-annual-report,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,1.8749375,annual-report,Annual report,,Organisational planning and commitments,#NAME?,4,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-audit,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,1.8749375,audit,Audit,,Organisational planning and commitments,#NAME?,8,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-budget-alignment,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,3.333222389,budget-alignment,Budget Alignment,activity,Finance and budgets,activity-Finance and budgets,15,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-commitments,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,3.333222389,commitments,Commitments,activity,Finance and budgets,activity-Finance and budgets,13,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-contact-details,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0.999966667,contact-details,Contact details,activity,Project attributes,activity-Project attributes,21,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-current-status,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0.999966667,current-status,Current status,activity,Project attributes,activity-Project attributes,20,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-description,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,2.9999,description,Description,activity,Project attributes,activity-Project attributes,17,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-disaggregated-budgets,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,4.097940803,disaggregated-budgets,Disaggregated budget,,Finance and budgets,#NAME?,10,0.041666668,iati,iati,33.33,98.35057613,65.02057613,monthly,1,1,65.02057613,,,,,,0
46002-non-sovereign-disbursements-and-expenditures,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,1.555444522,disbursements-and-expenditures,Disbursements and expenditures,activity,Finance and budgets,activity-Finance and budgets,14,0.033333335,iati,iati,33.33,46.66333333,13.33333333,monthly,1,1,13.33333333,,,,,,0
46002-non-sovereign-finance-type,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,2.9999,finance-type,Finance type,activity,Joining-up development data,activity-Joining-up development data,28,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-flow-type,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,2.9999,flow-type,Flow type,activity,Joining-up development data,activity-Joining-up development data,26,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-location,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,3.499883333,location,Location,activity,Project attributes,activity-Project attributes,23.1,0.035,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-location-with-activity-scope-exclusion-,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0,location-with-activity-scope-exclusion-,Location (with activity-scope exclusion),activity,Project attributes,activity-Project attributes,23.2,0.035,iati,iati,,0,0,monthly,1,1,0,,,,,,0
46002-non-sovereign-networked-data-implementors,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,3.33318889,networked-data-implementors,Networked Data - Implementors,activity,Joining-up development data,activity-Joining-up development data,30.1,0.033333,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-networked-data-participating-orgs,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0,networked-data-participating-orgs,Networked Data - Participating Orgs,activity,Joining-up development data,activity-Joining-up development data,30.2,0,iati,iati,33.33,50.57242424,17.24242424,monthly,1,1,17.24242424,,,,,,0
